name,issuer,network,currency,offerAmount,offerSpend,offerDays,offerUrl,countsTowards524,details,isBusiness,annualFee,isAnnualFeeWaived,universalCashbackPercent,url,imageUrl,credits
Blue Business Cash,American Express,American Express,USD,250,5000,90,https://www.americanexpress.com/en-us/business/credit-cards/blue-business-cash/,FALSE,,TRUE,0,FALSE,2,https://www.americanexpress.com/en-us/business/credit-cards/blue-business-cash/,https://offeroptimist.com/images/amex/blue-business-cash.webp,
Blue Business Cash,American Express,American Express,USD,500,15000,365,https://www.uscreditcardguide.com/amex-blue-business-cash-credit-card/,FALSE,,TRUE,0,FALSE,2,https://www.americanexpress.com/en-us/business/credit-cards/blue-business-cash/,https://offeroptimist.com/images/amex/blue-business-cash.webp,
Blue Business Plus,American Express,American Express,Amex Points,15000,3000,90,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/american-express-blue-business-plus-credit-card-amex/,FALSE,,TRUE,0,FALSE,2,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/american-express-blue-business-plus-credit-card-amex/,https://offeroptimist.com/images/amex/blue-business-plus.webp,
Blue Cash Everyday,American Express,American Express,USD,250,2000,180,https://www.americanexpress.com/us/credit-cards/card/blue-cash-everyday/,TRUE,,FALSE,0,FALSE,2,https://www.americanexpress.com/us/credit-cards/card/blue-cash-everyday/,https://offeroptimist.com/images/amex/blue-cash-everyday.webp,
Blue Cash Everyday,American Express,American Express,USD,100,2000,180,https://www.americanexpress.com/us/credit-cards/card/blue-cash-everyday/,TRUE,,FALSE,0,FALSE,2,https://www.americanexpress.com/us/credit-cards/card/blue-cash-everyday/,https://offeroptimist.com/images/amex/blue-cash-everyday.webp,
Blue Cash Everyday,American Express,American Express,USD,200,2000,180,https://resy.com/amex-offers?date=2022-10-01&seats=2,TRUE,,FALSE,0,FALSE,2,https://www.americanexpress.com/us/credit-cards/card/blue-cash-everyday/,https://offeroptimist.com/images/amex/blue-cash-everyday.webp,
Blue Cash Preferred,American Express,American Express,USD,250,3000,180,https://www.americanexpress.com/us/credit-cards/card/blue-cash-preferred/,TRUE,,FALSE,95,TRUE,2,https://www.americanexpress.com/us/credit-cards/card/blue-cash-preferred/,https://offeroptimist.com/images/amex/blue-cash-preferred.webp,$84 $7/mo Disney Bundle Credit
Blue Cash Preferred (Morgan Stanley),American Express,American Express,USD,250,3000,180,https://apply.americanexpress.com/amex-morgan-stanley-credit-cards/?page_url=1,TRUE,,FALSE,95,TRUE,2,https://apply.americanexpress.com/amex-morgan-stanley-credit-cards/?page_url=1,https://offeroptimist.com/images/amex/blue-cash-preferred-morgan-stanley.png,$84 $7/mo Disney Bundle Credit
Business Gold,American Express,American Express,Amex Points,110000,10000,90,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/american-express-business-gold-card-amex/,FALSE,,TRUE,295,FALSE,1,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/american-express-business-gold-card-amex/,https://offeroptimist.com/images/amex/business-gold.webp,
Business Green,American Express,American Express,Amex Points,25000,3000,90,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/american-express-business-green-card-amex/,FALSE,,TRUE,95,TRUE,1,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/american-express-business-green-card-amex/,https://offeroptimist.com/images/amex/business-green.webp,
Business Green,American Express,American Express,Amex Points,15000,3000,90,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/american-express-business-green-card-amex/,FALSE,,TRUE,95,TRUE,1,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/american-express-business-green-card-amex/,https://offeroptimist.com/images/amex/business-green.webp,
Business Platinum,American Express,American Express,Amex Points,170000,16000,90,https://www.doctorofcredit.com/american-express-business-platinum-170000-points-offer-ymmv/,FALSE,,TRUE,695,FALSE,1,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/american-express-business-platinum-credit-card-amex/,https://offeroptimist.com/images/amex/business-platinum.webp,$400 Dell credit; $120 Wireless credit; $200 Airline fee credit; $189 CLEAR credit; $650 Lounge access
Business Platinum,American Express,American Express,Amex Points,160000,16000,90,https://www.americanexpress.com/en-us/campaigns/small-business/bundles/business-platinum-employee-card/,FALSE,,TRUE,695,FALSE,1,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/american-express-business-platinum-credit-card-amex/,https://offeroptimist.com/images/amex/business-platinum.webp,$400 Dell credit; $120 Wireless credit; $200 Airline fee credit; $189 CLEAR credit; $650 Lounge access
Business Platinum,American Express,American Express,Amex Points,120000,15000,90,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/american-express-business-platinum-credit-card-amex/,FALSE,,TRUE,695,FALSE,1,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/american-express-business-platinum-credit-card-amex/,https://offeroptimist.com/images/amex/business-platinum.webp,$400 Dell credit; $120 Wireless credit; $200 Airline fee credit; $189 CLEAR credit; $650 Lounge access
Cash Magnet,American Express,American Express,USD,200,2000,180,https://www.americanexpress.com/us/credit-cards/card/cash-magnet/,TRUE,,FALSE,0,FALSE,1.5,https://www.americanexpress.com/us/credit-cards/card/cash-magnet/,https://offeroptimist.com/images/amex/cash-magnet.webp,
Delta SkyMiles Blue,American Express,American Express,Delta Miles,10000,1000,90,https://www.americanexpress.com/us/credit-cards/card/delta-skymiles-blue-american-express-card/,TRUE,,FALSE,0,FALSE,1,https://www.americanexpress.com/us/credit-cards/card/delta-skymiles-blue-american-express-card/,https://offeroptimist.com/images/amex/delta-skymiles-blue.jpg,
Delta SkyMiles Gold,American Express,American Express,Delta Miles,70000,2000,90,https://www.delta.com/us/en/skymiles/airline-credit-cards/american-express-personal-cards,TRUE,,FALSE,99,FALSE,1,https://www.americanexpress.com/us/credit-cards/card/delta-skymiles-gold-american-express-card/,https://offeroptimist.com/images/amex/delta-skymiles-gold.jpg,$50 First checked bag free
