cardId,name,issuer,network,currency,isBusiness,annualFee,isAnnualFeeWaived,universalCashbackPercent,url,imageUrl,credits,offers,historicalOffers,discontinued,offerAmount,offerSpend,offerUrl,offerDays,countsTowards524
a37efd1da4e7f0d468c87d3b6f021250,Blue Business Cash,AMERICAN_EXPRESS,AMERICAN_EXPRESS,USD,true,0,false,2,https://www.americanexpress.com/en-us/business/credit-cards/blue-business-cash/,https://offeroptimist.com/images/amex/blue-business-cash.webp,,,,false,250,3000,,90,false
a37efd1da4e7f0d468c87d3b6f021250,Blue Business Cash,AMERICAN_EXPRESS,AMERICAN_EXPRESS,USD,true,0,false,2,https://www.americanexpress.com/en-us/business/credit-cards/blue-business-cash/,https://offeroptimist.com/images/amex/blue-business-cash.webp,,,,false,300,6000,,90,false
a37efd1da4e7f0d468c87d3b6f021250,Blue Business Cash,AMERICAN_EXPRESS,AMERICAN_EXPRESS,USD,true,0,false,2,https://www.americanexpress.com/en-us/business/credit-cards/blue-business-cash/,https://offeroptimist.com/images/amex/blue-business-cash.webp,,,,false,500,8000,,90,false
a851f08b98f839a01a7e8fa367d8b8be,Blue Business Plus,AMERICAN_EXPRESS,AMERICAN_EXPRESS,AMERICAN_EXPRESS,true,0,false,2,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/american-express-blue-business-plus-credit-card-amex/,https://offeroptimist.com/images/amex/blue-business-plus.webp,,,,false,15000,3000,,90,false
6980c320c341292b63273e4362601aa8,Blue Cash Everyday,AMERICAN_EXPRESS,AMERICAN_EXPRESS,USD,false,0,false,2,https://www.americanexpress.com/us/credit-cards/card/blue-cash-everyday/,https://offeroptimist.com/images/amex/blue-cash-everyday.webp,,,,false,250,2000,,180,true
6980c320c341292b63273e4362601aa8,Blue Cash Everyday,AMERICAN_EXPRESS,AMERICAN_EXPRESS,USD,false,0,false,2,https://www.americanexpress.com/us/credit-cards/card/blue-cash-everyday/,https://offeroptimist.com/images/amex/blue-cash-everyday.webp,,,,false,200,2000,,180,true
04abf9273e03fbe626fe80a9ffd53523,Blue Cash Preferred,AMERICAN_EXPRESS,AMERICAN_EXPRESS,USD,false,95,true,2,https://www.americanexpress.com/us/credit-cards/card/blue-cash-preferred/,https://offeroptimist.com/images/amex/blue-cash-preferred.webp,84 $7/mo Disney Bundle Credit,,,false,300,3000,,180,true
04abf9273e03fbe626fe80a9ffd53523,Blue Cash Preferred,AMERICAN_EXPRESS,AMERICAN_EXPRESS,USD,false,95,true,2,https://www.americanexpress.com/us/credit-cards/card/blue-cash-preferred/,https://offeroptimist.com/images/amex/blue-cash-preferred.webp,84 $7/mo Disney Bundle Credit,,,false,250,3000,,180,true
b628058009b9f1a24093028750e18112,Blue Cash Preferred (Morgan Stanley),AMERICAN_EXPRESS,AMERICAN_EXPRESS,USD,false,95,true,2,https://apply.americanexpress.com/amex-morgan-stanley-credit-cards/,https://offeroptimist.com/images/amex/blue-cash-preferred-morgan-stanley.png,84 $7/mo Disney Bundle Credit,,,false,250,3000,,180,true
191f603ca5af9306d5db0fb208e9a646,Business Gold,AMERICAN_EXPRESS,AMERICAN_EXPRESS,AMERICAN_EXPRESS,true,375,false,1,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/american-express-business-gold-card-amex/,https://offeroptimist.com/images/amex/business-gold.webp,,,,false,100000,10000,,90,false
